name, date, description
E1, 18/10/2007, summit-dinner at la cadgrega restaurant in Limito di Pioltello (Mi)
E2, 29/11/2007,  summit-dinner at la cadgrega restaurant in Limito di Pioltello (Mi)
E3, 02/02/2008, summit-dinner at Bar trattoria da Marina in S.Pietro all'Olmo - Cornaredo (Mi)
E4,15/02/2008, meeting at The Sun bar in San Vittore Olona
E5, 15/02/2008, dinner at Borgo Antico restaurant (Legnano)
E6, 21/02/2008, summit-dinner at da Rosario e Maria restaurant - Cornaredo (Mi)
E7, 26/02/2008, dinner at Il Palio restaurant (Legnano)
E8, 01/03/2008, new opening of Cadrega restaurant (Pioltello)
E8, 12/03/2008, Ricottata at giardino degli ulivi in Verano Brianza (MI)
E10, 23/04/2008, dinner at Borgo Antico restaurant (Legnano)
E11, 26/04/2008, dinner at  Fornace restaurant (Solaro)
E12, 03/05/2008, lunch at  motocross track in CARDANO AL CAMPO (Va)
E13, 04/05/2008, meeting at storehouse in Nerviano (Mi)
E14, 22/05/2008, summit-dinner at Il Peperoncino restaurant (Mi)
E15, 25/05/2008, summit at Rossi Cesare's hangar (Nerviano - Mi)
E16, 31/05/2008, summit at Rossi Cesare's hangar (Nerviano - Mi)
E17, 07/06/2008, summit at Panetta Pietro's hunger - Segnago (Mi)
E18, 02/09/2008, meeting at the hospital in Mariano Comense (Co)
E19,  23/10/2008, summit at La Montina restaurant (Mi)
E20, 25/10/2008, summit at Novate Milanese's gardens
E21, 30/10/2008, summit-dinner la Rete - Milano
E22, 12/11/2008, summit at Panetta Pietro Francesco's hunger (Mi)
E23, 15/11/2008, summit at Novate Milanese's gardens
E24, 21/11/2008, summit - dinner at Mediterraneo restaurant (Seregno)
E25, 06/12/2008, summit at L'Unico restaurant - Cologno Monzese (Mi)
E26, 06/12/2008, summit at bar trattoria da Marina - in San Pietro all'Olmo - Cornaredo (Mi)
E27, 16/01/2009, slaughter a pig at Cesare Rossi's storehouse in Nerviano (Mi)
E28, 20/01/2009, summit at motocross track in CARDANO AL CAMPO (Va)
E29, 24/01/2009, summit at Panetta Pietro Francesco's hunger (Mi)
E30, 28/01/2009, at Fuda's mobile selling area
E31, 28/01/2009, dinner at Stomp café - Legnano
E32, 29/01/2009, summit-dinner at La piazzetta restaurant- Trezzano sul Naviglio (Mi)
E33, 26/02/2009, summit at Piccolo lord bar in Corsico (Mi)
E34, 03/03/2009, summit at Mandalari Vincenzo's IMES srl (mi)
E35, 15/03/2009, summit at Panetta Pietro Francesco's hunger (Mi)
E36, 20/03/2009, dinner-celebration at La Rosa Locanda - Liscate (Mi)
E37, 04/04/2009, summit at Da Mariu's restaurant
E38, 23/05/2009, summit-dinner at La Masseria restaurant in Cisliano (Mi)
E39, 30/05/2009, summit at Cavenago Cambiago(mi)
E40, 18/06/2009, summit-dinner at pizzeria l'Antico Forno in Ceriano Laghetto (Mi)
E41, 26/06/2009, summit at Pesce Spada restaurant in Milan
E42, 11/07/2009, summit at Flora Service Srl
E43, 24/07/2009, summit (cencessione della dote a M.F.) at Old America pub - (Mi)
E44, 03/08/2009, summit at Novate Milanese's gardens
E45, 16/09/2009, summit at IMES Bollate(mi)
E46, 02/10/2009, summit at IMES- Bollate (mi)
E47, 31/10/2009, summit at residential care Falcone e Borsellino in Paderno Dugnano (Mi)
